review_id,review_text
1,"Este producto es increíble, me encanta."
2,"This product is amazing, I love it."
3,"Ce produit est incroyable, je l'adore."
4,"Me gusta mucho este artículo, es muy útil."
5,"Dieses Produkt ist fantastisch, ich bin begeistert."
6,"Producto de buena calidad, cumple con las expectativas."
7,"Il prodotto è di ottima qualità, lo consiglio."
8,"Producto excelente, llegó a tiempo y en perfectas condiciones."
9,"J'adore ce produit, il fonctionne parfaitement."
10,"Es un buen producto, pero podría ser mejor."
